D,C
0,2
0,0
0,1
0,0
0,1
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,3
0,2
0,3
0,3
0,3
0,4
0,5
0,4
0,6
0,8
1,10
0,11
0,19
0,19
1,21
0,27
1,34
0,40
1,52
1,60
2,79
2,99
2,116
3,138
3,166
4,196
4,236
6,273
7,327
9,428
11,519
14,574
14,639
15,740
19,848
21,954
23,1018
25,1094
29,1175
31,1269
35,1277
37,1280
42,1312
43,1286
45,1257
44,1232
46,1160
49,1139
47,1174
54,1152
61,1136
65,1147
73,1201
72,1175
71,1361
77,1441
77,1495
82,1627
81,1710
78,1681
78,1735
82,1621
81,1532
77,1619
72,1562
76,1564
74,1595
74,1626
71,1589
72,1754
74,1698
72,1716
72,1756
74,1868
76,1854
75,1883
74,1757
76,1776
69,1781
77,1771
75,1730
74,1759
72,1776
74,1833
71,1844
84,1934
71,1970
74,1983
71,2054
69,2153
63,2278
64,2249
59,2227
65,2320
64,2469
65,2625
68,2660
72,2594
65,2648
64,2692
58,2781
58,2721
59,2698
56,2663
59,2738
64,2819
66,2970
62,2968
62,3041
62,2994
63,3053
61,3127
59,3320
60,3347
63,3365
62,3489
61,3693
63,4137
62,4558
64,4644
64,4897
64,5169
58,5229
60,5449
60,5625
64,5874
62,6268
65,6683
63,7039
61,7675
62,7804
68,7697
68,7944
77,8077
81,7903
88,7887
98,7836
96,8013
91,8334
95,8403
94,8457
95,8749
96,9059
98,9024
95,9112
97,9141
94,9111
95,9575
100,9774
103,9739
104,10019
106,9697
112,9558
119,9227
120,9073
117,8727
129,8454
133,8026
136,8085
136,7876
140,7473
141,6677
143,6677
140,6553
133,6664
138,6759
137,7433
137,8403
135,8903
140,8885
135,9300
133,9404
126,9323
125,8675
124,7774
125,7378
115,7170
120,6678
130,6192
129,5920
131,5892
127,5974
123,5839
128,5651
121,5486
110,5310
113,5235
110,5187
105,4901
112,4918
115,4919
115,4900
115,4939
113,4807
106,4307
99,4212
94,3880
86,3660
88,3490
90,3359
93,3308
100,3481
109,3401
103,3446
102,3418
93,3473
98,3499
90,3527
88,3594
86,3594
85,3576
83,3533
89,3471
81,3448
84,3374
82,3226
83,3266
83,3253
86,3234
77,3233
77,3183
77,3277
77,3274
66,3198
65,3230
63,3296
61,3267
64,3258
61,3206
59,3177
57,3327
57,3338
59,3285
57,3267
53,3137
57,3045
56,3244
60,3354
62,3294
61,3721
59,4032
58,4341
54,4421
59,4434
59,4505
50,4646
43,4353
44,4214
46,4087
44,4220
43,4348
39,4394
40,4564
43,4855
44,5111
44,5364
43,5709
48,5922
46,6423
41,6411
40,6900
40,7351
41,7745
41,8162
39,8823
41,9108
51,10003
59,10498
62,11050
65,11832
66,11811
66,12729
73,13559
74,13947
67,13352
65,13810
60,13776
61,14406
63,14390
64,14409
66,14984
80,16822
99,17866
106,19553
112,21778
121,23139
130,24509
146,26453
150,28167
152,30005
155,30246
158,31247
163,31672
178,32808
202,36973
217,38612
235,40202
242,41725
241,42737
255,44602
253,44763
251,42452
255,40940
210,36443
224,40391
221,39629
221,39410
243,39242
251,37474
289,37121
325,40148
331,38321
336,38086
353,37944
361,38386
379,39033
369,40198
427,42057
451,41348
481,42277
484,42262
517,43494
516,44175
528,44214
531,42518
528,41137
513,39585
480,37409
470,36440
478,33247
494,31088
483,29078
489,26996
504,25581
536,25797
548,23300
560,23201
547,22351
552,21595
554,20816
544,19719
541,18389
519,17138
501,16271
505,15563
491,14745
471,13894
460,13355
451,12787
445,12450
429,11881
416,11301
401,10660
411,10316
415,9709
382,8480
353,8234
353,7904
336,7509
337,7276
321,6832
327,6646
345,6641
346,6280
436,6219
436,5902
428,5762
410,5525
410,5360
423,5248
415,4972
302,4765
296,4711
292,4448
306,4427
286,4323
270,4319
264,4293
259,4159
239,3917
214,3522
321,3448
329,3375
322,3201
303,2907
300,2892
297,2893
297,3023
161,2801
151,2759
163,2751
171,2812
173,2729
171,2573
173,2597
187,2586
192,2617
177,2640
169,2622
153,2584
141,2606
138,2662
125,2773
114,2695
111,2703
108,2685
102,2674
103,2659
96,2638
98,2651
103,2975
99,3030
95,3080
105,3089
97,3058
91,2945
88,2837
83,2510
78,2376
82,2358
70,2277
71,2304
68,2220
65,1958
63,1920
64,1938
56,1885
53,1861
52,1697
52,1714
61,1886
66,1891
68,1824
73,1834
70,1824
74,1990
65,1961
60,1922
55,1879
53,1857
50,1772
57,1761
58,1648
59,1572
54,1572
53,1535
53,1422
51,1348
